set Units "mm"
Name	Material	Shape	t3	t2	tf	tw	Area	J	I33	I22	As2	As3	S33	S22	Z33	Z22	R33	R22	Cw
H400X237	S355	I	381	395	30.5	18.5	30200	8400000	797100000	313500000	7048.5	24095	4184252	1587342	4727000	2409000	162.5	101.9	9.622E+12
H400X262	S355	I	387	397	33.5	20.5	33400	11170000	894200000	349600000	7933.5	26599	4621189	1761209	5256000	2676000	163.6	102.3	1.091E+13
H400X288	S355	I	393	399	36.5	23	36700	14640000	996200000	386800000	9039	29127	5069720	1938847	5811000	2951000	164.8	102.7	1.228E+13
H400X314	S355	I	400	400	40	24.5	40000	19030000	1113000000	427100000	9800	32000	5565000	2135500	6417000	3251000	166.8	103.3	1.382E+13
H400X340	S355	I	406	403	42.9	26.5	43300	23670000	1226000000	468500000	10759	34577.4	6039409	2325062	6997000	3543000	168.3	104	1.542E+13
H400X347	S355	I	407	404	43.5	27.5	44100	24920000	1246000000	478700000	11192.5	35148	6122850	2369802	7122000	3614000	168.1	104.2	1.579E+13
H400X383	S355	I	416	406	48	30	48800	33350000	1414000000	536200000	12480	38976	6798077	2641379	7970000	4032000	170.2	104.8	1.813E+13
H400X393	S355	I	419	407	49.2	30.6	50100	35920000	1469000000	553700000	12821.4	40048.8	7011933	2720884	8225000	4154000	171.2	105.1	1.89E+13
H400X422	S355	I	425	409	52.5	33	53700	43880000	1594000000	599700000	14025	42945	7501177	2932518	8874000	4482000	172.3	105.7	2.077E+13
H400X463	S355	I	435	412	57.5	35.5	58900	57400000	1803000000	671500000	15442.5	47380	8289656	3259709	9882000	4985000	175	106.8	2.388E+13
H400X467	S355	I	437	412	58	35.9	59500	59050000	1832000000	679300000	15688.3	47792	8384440	3297573	10010000	5040000	175.5	106.8	2.428E+13
H400X509	S355	I	445	416	62.2	39.5	64800	74880000	2032000000	751700000	17577.5	51750.4	9132584	3613942	10990000	5537000	177.1	107.7	2.734E+13
H400X551	S355	I	455	418	67.5	42.5	70200	94230000	2261000000	823800000	19337.5	56430	9938461	3941627	12050000	6046000	179.5	108.3	3.084E+13
H400X593	S355	I	465	421	72.5	44.5	75500	115900000	2504000000	904100000	20692.5	61045	10769890	4295012	13150000	6588000	182.1	109.4	3.473E+13
H400X634	S355	I	475	423	77.5	47	80800	141000000	2756000000	980500000	22325	65565	11604210	4635934	14260000	7115000	184.7	110.2	3.862E+13
H400X678	S355	I	484	427	82	50.5	86400	169100000	3011000000	1068000000	24442	70028	12442150	5002342	15400000	7685000	186.7	111.2	4.299E+13
H400X744	S355	I	499	431	89.5	54.5	94800	219700000	3439000000	1199000000	27195.5	77149	13783570	5563806	17220000	8556000	190.5	112.5	5.007E+13
H400X818	S355	I	514	437	97	60.5	104300	285100000	3922000000	1355000000	31097	84778	15260700	6201374	19260000	9561000	193.9	114	5.865E+13
H400X900	S355	I	531	442	106	65.9	114900	373500000	4502000000	1533000000	34992.9	93704	16956690	6936652	21620000	10710000	197.9	115.5	6.889E+13
H400X990	S355	I	550	448	115	71.9	126200	482100000	5189000000	1734000000	39545	103040	18869090	7741072	24280000	11960000	202.8	117.2	8.153E+13
IPE100	S355	I	100	55	5.7	4.1	1030	11600	1710000	159000	410	522.5	34200	5781.8	39400	9150	40.7	12.4	351378405.6
IPE120	S355	I	120	64	6.3	4.4	1320	16900	3180000	277000	528	672	53000	8656.2	60700	13600	49.1	14.5	889590546.4
IPE140	S355	I	140	73	6.9	4.7	1640	24000	5410000	449000	658	839.5	77285.7	12301.4	88300	19200	57.4	16.5	1981356118
IPE140R	S355	I	142	72	7.8	5.3	1840	33600	6110000	488000	752.6	936	86056.3	13555.6	99100	21300	57.6	16.3	2184670186
IPE160	S355	I	160	82	7.4	5	2010	35400	8690000	683000	800	1011.3	108625	16658.5	124000	26100	65.8	18.4	3958868739
IPE160R	S355	I	162	81	8.5	5.6	2260	50500	9890000	757000	907.2	1147.5	122098.8	18691.4	140000	29400	66.2	18.3	4434855770
IPE180	S355	I	180	91	8	5.3	2390	47300	13170000	1010000	954	1213.3	146333.3	22197.8	166000	34600	74.2	20.6	7431214821
IPE180O	S355	I	182	92	9	6	2710	66500	15050000	1170000	1092	1380	165384.6	25434.8	189000	39900	74.5	20.8	8739507432
IPE180R	S355	I	183	89	9.5	6.4	2810	76300	15540000	1120000	1171.2	1409.2	169836.1	25168.5	195000	39700	74.4	20	8400039761
IPE200	S355	I	200	100	8.5	5.6	2850	69200	19430000	1420000	1120	1416.7	194300	28400	221000	44600	82.6	22.3	12988088542
IPE200O	S355	I	202	102	9.5	6.2	3200	93600	22110000	1690000	1252.4	1615	218910.9	33137.3	249000	51900	83.1	23	15565903959
IPE200R	S355	I	204	98	10.5	6.6	3390	117000	23630000	1660000	1346.4	1715	231666.7	33877.6	265000	53200	83.5	22.1	15417651446
IPE220	S355	I	220	110	9.2	5.9	3340	90300	27720000	2050000	1298	1686.7	252000	37272.7	285000	58100	91.1	24.8	22672314339
IPE220O	S355	I	222	112	10.2	6.6	3740	122000	31340000	2400000	1465.2	1904	282342.3	42857.1	321000	66900	91.5	25.3	26785200992
IPE220R	S355	I	225	108	11.8	6.7	4020	164000	34740000	2490000	1507.5	2124	308800	46111.1	352000	71800	93	24.9	28152465360
IPE240	S355	I	240	120	9.8	6.2	3910	130000	38920000	2840000	1488	1960	324333.3	47333.3	367000	73900	99.8	27	37391183424
IPE240O	S355	I	242	122	10.8	7	4370	171000	43690000	3290000	1694	2196	361074.4	53934.4	410000	84400	100	27.4	43678494953
IPE240R	S355	I	245	118	12.3	7.5	4750	228000	48230000	3390000	1837.5	2419	393714.3	57457.6	450000	90100	100.8	26.7	45596620827
IPE270	S355	I	270	135	10.2	6.6	4590	159000	57900000	4200000	1782	2295	428888.9	62222.2	484000	97000	112.3	30.2	70577867001
IPE270O	S355	I	274	136	12.2	7.5	5380	250000	69470000	5130000	2055	2765.3	507080.3	75441.2	575000	118000	113.6	30.9	87640449934
IPE270R	S355	I	276	133	13.1	7.7	5600	291000	73120000	5160000	2125.2	2903.8	529855.1	77594	602000	121000	114.3	30.4	88755678646
IPE300	S355	I	300	150	10.7	7.1	5380	199000	83560000	6040000	2130	2675	557066.7	80533.3	628000	125000	124.6	33.5	1.259E+11
IPE300O	S355	I	304	152	12.7	8	6280	310000	99940000	7460000	2432	3217.3	657500	98157.9	744000	153000	126.2	34.5	1.577E+11
IPE300R	S355	I	306	147	13.7	8.5	6590	370000	105000000	7280000	2601	3356.5	686274.5	99047.6	780000	155000	126.2	33.2	1.549E+11
IPE330	S355	I	330	160	11.5	7.5	6260	281000	117700000	7880000	2475	3066.7	713333.3	98500	804000	154000	137.1	35.5	1.991E+11
IPE330O	S355	I	334	162	13.5	8.5	7260	422000	139100000	9600000	2839	3645	832934.1	118518.5	943000	185000	138.4	36.4	2.457E+11
IPE330R	S355	I	336	158	14.5	9.2	7680	506000	146900000	9580000	3091.2	3818.3	874404.8	121265.8	995000	190000	138.3	35.3	2.463E+11
IPE360	S355	I	360	170	12.7	8	7270	374000	162700000	10430000	2880	3598.3	903888.9	122705.9	1019000	191000	149.6	37.9	3.136E+11
IPE360O	S355	I	364	172	14.7	9.2	8410	557000	190500000	12510000	3348.8	4214	1046703	145465.1	1186000	227000	150.5	38.6	3.803E+11
IPE360R	S355	I	366	168	16	9.9	8960	687000	202900000	12700000	3623.4	4480	1108743	151190.5	1262000	236000	150.5	37.6	3.872E+11
IPE400	S355	I	400	180	13.5	8.6	8450	513000	231300000	13180000	3440	4050	1156500	146444.4	1307000	229000	165.4	39.5	4.9E+11
